subject_id,step,angle,translation,GD_EP,CD_EP,GD_IP,CD_IP
fCMR_Siemens_006,41,2.7747,2.9518,0.5133,2.4419,0.7149,6.4823
fCMR_Siemens_144,41,2.5366,3.1238,0.3107,2.1446,0.7726,10.6509
fCMR_Siemens_068,41,2.1055,2.9712,2.6421,1.8865,2.2296,9.023
fCMR_Siemens_198,41,2.2743,3.8973,0.209,1.1852,0.2189,3.6575
fCMR_Siemens_018,42,3.0802,3.0268,1.6982,16.3636,1.7215,41.9026
fCMR_Siemens_113,42,1.6238,1.2684,0.1683,4.9753,0.2036,11.0991
fCMR_Siemens_027,42,2.1522,2.9904,0.3149,2.4388,0.3255,7.9289
fCMR_Siemens_006,42,2.3391,2.3146,1.769,7.3213,1.7304,20.9634
fCMR_Siemens_144,42,3.0659,1.6951,0.3187,0.6097,0.9196,7.6829
fCMR_Siemens_068,42,2.9379,3.2504,0.8919,0.3815,0.9151,5.1438
fCMR_Siemens_198,42,3.0427,1.259,0.1391,1.0968,0.1646,4.195
fCMR_Siemens_018,43,2.0591,2.1164,1.9486,12.453,2.0073,32.9045
fCMR_Siemens_113,43,2.8876,3.0975,0.1153,8.6566,0.1647,18.938
fCMR_Siemens_027,43,1.9143,1.6371,0.3294,0.3495,0.3816,3.9616
fCMR_Siemens_006,43,3.0643,2.4084,0.5302,3.2304,1.0019,14.8269
fCMR_Siemens_144,43,2.7073,1.3698,0.17,1.9095,0.2127,5.5432
fCMR_Siemens_068,43,0.8531,1.9193,0.9451,0.3678,0.9523,3.9155
fCMR_Siemens_198,43,2.4294,2.4157,0.2649,1.2767,0.2855,3.5483
fCMR_Siemens_018,44,1.765,2.0651,2.0215,16.4907,2.3571,37.7421
fCMR_Siemens_113,44,1.871,3.288,0.0598,5.2267,0.1439,13.5254
fCMR_Siemens_027,44,2.5158,3.0914,0.4593,0.816,0.4797,3.0882
fCMR_Siemens_006,44,2.696,1.7515,0.3919,1.7091,0.4278,10.2831
fCMR_Siemens_144,44,1.8818,1.3882,0.4215,2.0967,0.4397,6.3838
fCMR_Siemens_068,44,3.0189,2.6191,0.5405,0.4877,1.0284,3.4587
fCMR_Siemens_198,44,2.6007,1.6257,0.2517,0.6893,0.3174,4.5009
fCMR_Siemens_018,45,2.9295,2.0472,1.0393,9.5837,1.5593,22.0739
fCMR_Siemens_113,45,2.8438,2.9065,0.1269,6.4291,0.2355,15.0586
